ID,Name
0,Code39
1,UPC_A
2,UPC_E
3,EAN_13_JAN13
4,EAN_8_JAN8
5,Discrete2of5
6,Interleaved2of5
7,Codabar
8,Code128
9,Code93
10,Code11
11,MSI
12,UPC_E1
13,TriopticCode39
14,UCC_EAN_128
15,PDF
16,UPC_EAN_JANSupplementals
17,Code39FullASCIIConversion
18,LengthforCode39Length1
19,LengthforCode39Length2
20,LengthforD2of5Length1
21,LengthforD2of5Length2
22,LengthforI2of5Length1
23,LengthforI2of5Length2
24,LengthforCodabarLength1
25,LengthforCodabarLength2
26,LengthforCode93Length1
27,LengthforCode93Length2
28,LengthforCode11Length1
29,LengthforCode11Length2
30,LengthforMSILength1
31,LengthforMSILength2
34,UPCAPreamble
35,UPCEPreamble
36,UPCE1Preamble
37,ConvertUPCEtoA
38,ConvertUPCE1toA
39,EAN8_JAN8Extend
40,TransmitUPC_ACheckDigit
41,TransmitUPC_ECheckDigit
42,TransmitUPC_E1CheckDigit
43,TransmitCode39CheckDigit
44,TransmitI2of5CheckDigit
45,TransmitCodeId
46,TransmitMSICheckDigit
47,TransmitCode11CheckDigit
48,Code39CheckDigitVerification
49,I2of5CheckDigitVerification
50,MSICheckDigits
51,MSICheckDigitAlgorithm
52,Code11CheckDigitVerification
54,CLSIEditing
55,NOTISEditing
56,BeepAfterGoodDecode
58,Code11Redundancy
59,Code39Redundancy
60,Code128Redundancy
61,CodeMSIRedundancy
62,CodabarRedundancy
63,I2of5Redundancy
64,D2of5Redundancy
65,Code93Redundancy
66,TriopticCode39Redundancy
68,
69,
77,SecurityLevel
78,RedundancyLevel
80,UPC_EAN_JANSupplementalRedundancy
82,ConvertI2of5toEAN13
83,BooklandEAN
84,ISBT128
85,UCCCouponExtendedCode
86,ConvertCode39toCode32
89,USPost1
90,USPost2
91,UKPost
93,SignatureCapture
94,TransmitNoReadMessage
95,USPostParity
96,UKPostParity
98,KeyCategory1
99,KeyCategory2
100,KeyCategory3
101,KeyCategory4
102,KeyCategory5
103,KeyCategory6
104,KeyValue1
105,KeyValue2
106,KeyValue3
107,KeyValue4
108,KeyValue5
109,KeyValue6
111,PauseDuration
123,EAN128Emulation
128,
136,LaserOnTime
137,TimeoutBetweenSameSymbols
138,TriggerMode
140,BeeperVolume
144,TimeoutBetweenDifferentSymbols
145,BeeperFrequency
146,TimeDelayToLowPower
148,BluetoothParameterBroadcast
150,
207,Supp2
208,Supp5
209,Code128Length1
210,Code128Length2
223,ISBTRedunancy
